elapsed_s,gpu_uuid,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
290.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.44,99
295.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.65,99
300.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.32,99
305.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.11,99
310.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.32,100
315.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.81,100
320.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.57,100
325.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.64,100
330.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.05,99
335.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.05,99
340.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,448.83,99
345.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,450.00,99
350.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.86,99
355.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.70,99
360.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,76,449.66,100
365.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.17,99
370.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.27,99
375.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.89,99
380.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.43,99
385.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.21,99
390.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.09,99
395.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.46,99
400.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.22,99
405.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.96,99
410.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.51,99
415.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,76,449.60,99
420.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.15,99
425.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.07,100
430.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.48,100
435.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.08,100
440.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.27,100
445.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.30,100
450.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.33,100
455.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.53,100
460.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.24,100
465.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.44,100
470.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.65,100
475.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.44,100
480.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.44,100
485.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.26,100
490.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.10,100
495.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.23,100
500.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.57,100
505.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.87,100
510.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.55,100
515.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.41,100
520.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.59,100
525.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.75,100
530.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.70,100
535.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.13,99
540.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.30,99
545.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.33,99
550.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.32,99
555.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.88,99
560.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.65,99
565.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,75,449.93,99
570.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.59,99
575.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.50,99
580.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.39,100
585.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.29,100
590.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.03,99
595.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.48,99
600.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.34,99
605.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.18,99
610.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.50,99
615.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,75,449.65,99
620.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2235,10251,75,449.36,99
625.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,76,448.98,99
630.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.47,99
635.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.35,99
640.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.54,99
645.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.38,99
650.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.10,99
655.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.48,99
660.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.95,99
665.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,448.95,99
670.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.81,99
675.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.58,99
680.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.01,99
685.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.34,99
690.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.23,99
695.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.71,99
700.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.40,99
705.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.73,99
710.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.04,99
715.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2220,10251,75,447.98,99
720.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,448.96,100
725.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.02,99
730.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.21,99
735.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.79,99
740.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,450.06,99
745.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.57,100
750.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.14,99
755.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.14,100
760.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.71,100
765.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.21,100
770.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.25,99
775.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.95,99
780.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.55,99
785.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.08,99
790.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.20,99
795.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2175,10251,75,449.17,99
800.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.78,99
805.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.57,99
810.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.84,99
815.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.58,99
820.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.10,99
825.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.87,99
830.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.91,100
835.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.99,99
840.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.06,99
845.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.70,100
850.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,449.10,100
855.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.33,99
860.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.63,99
865.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.47,100
870.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.64,99
875.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.34,99
880.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.53,100
885.2,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.69,99
890.3,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.77,100
895.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,448.91,99
900.4,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,75,449.26,99
905.5,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,76,449.37,99
910.0,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2205,10251,75,449.23,99
915.1,GPU-5b052ad1-4272-40db-4b25-c930bf32b547,2190,10251,76,448.46,99
